tweets;1.kisi;2.kisi;3.kisi;total
irkçiliksa irkçilik kardeþim naþ;1;1;1;1
filistin sorununu çözebilecek tek kiþi benim sorun basit önce filistinin cumhurbaþkaný olarak atanmalýyým katliam yerinden etme yýkýmdan iki yýl sonra filistinlilerin sayýsý yarým milyonun altýna inecek mesele bitecek;0;0;0;0
yý kabul ettiler yapmýyorum türklüðü savunuyorum türk topraklarýnda türkler yaþar mutlu türküm diyene;0;0;0;0
ülkemizde irkçýlýk yapýldýðýna katýlýyormusunuz;1;1;1;1
özgürlük irkçilik ümit özdað muhafaza binali tuðrul bayramýn 3 suriye ekrem imamoðlu venezuela felsefe;1;1;1;1
bir insan olarak utandýmnedir ýrkçý zihniyetiniz nedir nefretiniz öfkenizkininiz bir öðretmen bunu yapýyorsa sevgisizliðihoþgörüsüzlüðüsaygýsýzlýðý ortadan kaldýracaðýz gerçekten silkelenip kendimize gelelim insanýz;0;0;0;0
kimsiniz öðretmen mi terörist mi;0;0;0;0
benim ülkem atalarýmýn yadigarý çocuklarýmýn emaneti suriyeli afkan kimseyi istemiyorum ülkemde dedi evet ýrkcýyým tanrý türk yaratmýþ övünmeyelimde nankörlük edelim;0;0;0;0
ingiliz iþgal komutaný görse kýskanýr sessiz istila ümit özdað sa þayet vatan sevgisi;0;0;0;0
20 istila tamamlandýðýnda týpký yer yüzünde adýný bilen son insan öldüðünde yaþamamýþ olacaðýn sana deðer verenverecek olan kimse kalmamýþ olacak;0;0;0;0
hz hüseyinin kerbelada ciðersûz surette þehit edilmesinin altýnda yatan ana sebeplerden týr ehli beyt olmasý hasebiyle farklý milletlerin etrafýnda toplanmasý arap ýrkçýsý yezidi þürekasýný ziyadesiyle rahatsýz etmiþti ensar suriye;0;0;0;0
ben ýrkçý deðilim ancak benim kardeþim yokturnokta;0;0;0;0
kime þirin gözükmeye çalýþýyorsunuz pkk tek bayrak deðil türk bayraðý tek devlet deðil türk devleti daðlar tek doðurmuyor daðlar türk doðurur mutlu türküm diyene diyemeyeni türkiyede istemiyorum;0;1;1;1
kültürlü hayat multi cultural lifeosmanlý devletinin bir özelliðiydi abd kültürlü hayata geçerek süper güç olmuþtur lakin ýrkçý söylemleri çöküþlerini hýzlandýrmýþtýr yapan bütün devletler kendi yaðýnda kavrulmaya mahkumdur suriye sessiz istila;0;0;0;0
sokaða çýkmayacaðýz sýðýnmacý leþleri baþýmýza bela edenleri sandýkla göndereceðiz;0;1;1;1
ben vatanýmda sapýk tecavüzcü insanlýktan uzak türk istemiyorum mesela ee þimdi olacak bunlar kötü þeylerse bunlarý yapan türk olsa kötüdür istemem uzak olsun bunlarý yapmayan iyiyse mültecilere karþý çýkayým;0;1;1;1
istilacýlarý savunan tanýdýklarýmla selamý kestim kafayla uzlaþýlmaz defolsun gitsinler hayatýmdan þimdi kendi ýrkýma karþý ýrkçý oldum sanýrým hadi bakalým;0;0;0;0
kiþinin kavminin yaptýðý yanlýþlara arka çýkmasýdýr;0;0;0;0
ülkedeki mültecileri istemiyorum evet ýrkçýlýksa ýrkçýyým;0;0;0;0
bir asýr öncesi milliyetçilik asrý olabilirdi asýr asrý deðil;1;1;1;1
benim ülkemde yavþaklarýn iþi var yeter düzensiz göç var;0;0;0;0
sahih olan bir hadis var yapanlara aðýr hakaret içeren cahiller anlamaz yanlýþ yorumlar fitne çýkar korkusuyla paylaþmýyorum;0;0;0;0
kontrolsüz mülteci akinina karþi gelmek irkçilik deðildir;0;0;0;0
toplumlarý zehirleyen bir hastalýktýr;0;0;0;0
akp nin politikalarý sonucu devasa kontrolsüz göçmen sorunu ortada ikenbu sorunu görmezden gelmenin ýn önünü açtýðý süreçtebir kýsým solun pembe popolu liberaller ab fonu almalarý muhtemel ayný yerde kalmasý üzücüsol çözüm önermeli liberal aforizmalar deðil;0;0;0;0
kavram kargaþasýnýn ayyuka çýktýðý günlerdeyiz yine ülkesinde mülteci istememekse kelimelerin anlamlarý arasýndaki ince çizgileri bi anlayýn artýk;0;0;0;0
akparti cýdden terbýyesýzce olan paylasýmý yaptýmý yoksa espýrýmý anlýyamadým eger oyle býr sey varsa cýdden hukumetýn ulkeyý dusunmedýgý bellý oldu avrupalýlar rahat etsýn dýye kendý halkýnýn huzurunu kacýran tek ulkeyýz helal olsun býze vay beee;1;1;1;1
18 halde hepimiz sevelim yaþatalým okuyalým zaman dünya sana göre yaþanabilir bir hale gelir unutmayýn muhtaç olduðunuz kudret damarlarýnýzdaki asýl kanda mevcuttur sevgili türkler;0;0;0;0
öz yurdum parya;0;0;0;0
ülkemde gece yarýsý dahi özgürce korkmadan çoluk çocuk gezsin istiyorum suriyelilerin savaþý bitti ülkem onlar elinden geleni yaptý artýk vatanlarýna dönme vakti türkiye türklerindir;0;0;0;0
çocuklar kirli zihniyete teslim edilmemeli derhal görevden alýnmalý;0;0;0;0
sadece suriyeden bizim eski topraklarimizdan canini kurtarmak mecburiyetten gelen 1 eþiçocuðu olan aileler 2 kizkadinlar 3 eðitimli gelecek vaad eden gençler arasindan iyileri seçip kalanini sorgusuz gönderin sn;0;1;1;1
kadar acýyorsanýz mültecilere alýn evinizde besleyin ben istemiyorum;0;0;0;0
sen çikolata tene sahipsin çocuk güzelsin;0;0;0;0
ülkemiz futboluna bir katkýsý bulunmayan düþmanlýklarý körükleyen pankartlar yasaklanmalýdýr biriniz günahsýz deyilsiniz;0;0;0;0
ümit özdað sinan oðan saffet sancaklý muharrem ince mansur yavaþ suriye afganistan pakistan arap yeter artýk ensar istanbulu diyenler defolsun göçmen;1;1;1;1
senin allahýna gurban allahýna mutlu türküm diyene;0;0;0;0
sizin çýðlýðýnýz deðil ilk fýrsatta sevdiklerinizi para uðruna terk edensiniz ilk fýrsatta olayda tuzu olup hemen çýðýrtkanlýða soyunanlarsýnýz utancýnýzý bastýranlarsýnýz vataný zaten kiralamýþtýnýz;1;1;1;1
vatanimizda sapik tecavüzcü insanliktan uzakdirekt maðaradan firlayip aramiza girmiþ mülteci istememek irkçilik deðildir;0;0;0;0
mesleði öðretmen olan öðreten nesilden nesile sevgiyi eþitliði saygýyý aktaracaðý yere irkçýlýðý aktaran ülke böyle eðitim açýsýndan kendini yeterli gören insanlýk açýsýndan eksik insan var;1;1;1;1
14 türklerin adým atmadýðý bir yer kalmamýþ dünyada ailesini býrakmýþ gezmiþ yemiþ içmiþ eðlenmiþ herkesten çalýþmýþ türkler sonra bir gün ailesinin yanýna dönmek istediðinde ortada ana baba kardeþ bulabilmiþ vatan 2043;0;0;0;0
ben zulu zulu kabilesinden olmayý büyük þan þeref sayýyorum;0;1;1;1
ben ýrkçý deðilim benim afganlar suriyeliler pakistanlýlarla herhangi bir kardeþliðim yok olamaz ülkemde mülteci istemiyorum ey türk titre kendine dön mutlu türküm diyene;1;1;1;1
hýdýrellez zaman 2022 hýdýrellez kutlanýr;0;0;0;0
son mülteci gidene kadar mücadele edeceðiz güzelim memleketi çöplüðe çevirdiniz irkçý deðil vatanseveriz vataný sermek ýrkçýlýksa ýrkçyýz;0;1;1;1
13 insanlara hak bir sorun var onlar gidince ülkeyi savunacak kimse kalmayýnca türkiye bir yer kalmayacak dünyanýn yerinde topraðýnda yaþamýþ halende yaþamaya devam eden tek ýrk olan türklerin bir vataný kalmayacak;0;0;0;0
þarkýcý edis saat 2400ten sonra uygulanan müzik yasaðýna tepki gösterdi;0;0;0;0
vatan savunmasýnda gereðinden fazla merhamet vatana ihanettir;0;0;0;0
çocuklarýmýza hesap vereceðimizi þimdiden düþünelim zaman hýzlý malûm;0;0;0;0
bizim memleketimizde bizden baþka herkes mutlu;0;0;0;0
insanlarýn zekasýyla alay etmeyin birde utanmadan suc duyurusunda bulunacakmýþ özrü kabahatinden beter saygýsýz kanýtý burda resme yazdýðý bak birde kente sevilen sayýlanmýþ sen insanlarýn sevgisini haketmiyorsun;1;1;1;1
türkiye siyasetinin gidiþatýný gerçekten sakince olumlu yorumlayan varsa helal olsun benim kafamdan küfürsüz tek cümle geçmiyor;0;0;0;0
evin içinde türk kürt alevi sünni dindar dinsiz lâik anti lâik baþý açýk örtülü fenerli trabzonlu bilumum bahanelerle birbirinizi yemeye devam edin birileri evi çoktan gözüne kestirdi haberiniz yok nasýliyi mi böyle;0;0;0;0
siyasi sosyal konulara kafa yoran insanlar yakýn ortada vadeli gelecek analizlerinde somut senaryolar ortaya koyamýyorlar durum tek baþýna sorunun büyüklüðünü anlatýyor ülkenin büyük sorunu artýk tamamen öngörülemez olmasý;0;0;0;0
ülkede yaþayan yabancý uyruklu kayýtlý kayýtdýþý insanlar tarafindan maruz kalýyoruz buna ses çýkarmak oarak görülüyor bundan 5 yýl sonra kadýnlarýn çocuklarýn güvenliðini saðlamak dahada zorlaþacak buna dur demenin bir yolu olmalý;0;0;0;0
milliyetçilik türkçülük milleti olmayanlar ýrkçýlýktýr;0;0;0;0
sýðýnmacý sorununa basýnýn bakýþý kimi bilinmeyenler;0;0;0;0
böyle kudurup azdýðýnýz günlerden birinde 10 aylýk hamile suriyeli bir kadýný kaçýrýp tecavüz edip yanýnda bebeðiyle birlikte kafalarýný ezerek katletmiþtiniz evet yapan hepiniz yarýn yine bir mazlumun kýlýna zarar gelirse;0;0;0;0
þuan ülkemizde 2 çeþit ýrkçýlýk var türkülerin kürtlere yaptýðý baþtakiler yok desede yapýlýyor görüyorum þahit oluyorum diyeri araplarýn pakistanlýlarýn suriyelilerin türkiyelilere uyguladýðý ýrkçýlýk var bunun farkýnda bile olmayan bir iktidar görüyorum;0;0;0;0
karþýyýz ülkemizde suriyeli afgan sýðýnmacýlarý istemiyoruz diyen iþ yeri sahipleri ucuz iþçilik olunca türkten sýðýnmacý çalýþtýrýyor bugün sýðýnmacýlar ülkede hâlâ var bizim onlardan faydalanmak iþimize geldiði;0;0;0;0
görünen ülke yine ikiye ayrýldý ýrkçýlar mülteciciler;1;1;1;1
9 sanýrým herkes ayný cevabý verdi yanlýþ peki zaman sorun neyden kaynaklý bana göre sorun hayvanlarý oraya kaçýrmak zorunda býrakan bir takým etkenlerden kaynaklý halde türkler halen etkenlerin iki dudaðýnýn arasýna bakýyor;0;0;0;0
deva partisi alanlara çýkýyor;1;1;1;1
trabzon tiyatro sevmez;1;1;1;1
gidiþ sayýn bakaným sayýn cumhurbaþkaným bayramda gittiðim istanbulu tanýyamadým huzurumuz iyice kaçtý gidiþe dur diyin;1;1;1;1
tevhidi düþünceye sahip olmayan insan ýrkçýlýktan nasibini alýr;0;0;0;0
bugün öðretmen lere sorsan amerika zencilere ýrkçýlýk yapýlýyor derler fakat kendilerinin zihniyet yoksunu bir eðitim cý olduklarýný dile getiremezler tahammül edemeyip bir eðitimci olurlar gerçekten yazýk;1;1;1;1
topluma gittiði ülkenin kültürüne uyum saðlamamýþ göçmenler ülkeye sorun olmuþtur olmaya devam edecektir;0;0;0;0
amacýmýz insanlar þahsiyetler olmamalý bizim amacýmýz toplumu bozan ifsad eden fikirleri yok etmek olmalý unutmayalým mûfsid ýrkçýlýk dört tane öðretmeni görevden alarak bitmeyecek;0;0;0;0
ümit özdað suriyeli;0;0;0;0
ümit özdað hocamýza destek vermek benim artýk bir zorunluluktur irkçilik güzellemesi yapanlara bakýn türklükle zerre alakasý olmayan arap bedevileridir kurban olduðum atam bursa nutkunda net ifade etmiþ artýk sabýr zorlamayýn;0;0;0;0
ümit özdað gönüldaþlarýnýn görünürde mülteci karþýtlýðý gerçekte olan davranýþlarýna karþý kuranda þekilde tepki vermiþtir;0;0;0;0
bir bitmedi ulan dýj güjler martavalý aq yaaa zihinsel kapasite yetmeyince bas iftirayý gitsin nasýlsa yiyen gerizekalý;0;0;0;0
zafer sabahi son þafakta hesap herkes hesap verecek hesabi sormasak;0;0;0;0
türk polis teþkilatý temsili deðil;0;0;0;0
irkçiyim;0;0;0;0
mustafa kemal atatürkün kurduðu cumhuriyet halk partisi kuruluþunun 4 ilkesi olan logosunun 6 okundan birisini temsil eden türk milliyetçiliði okunu almýþ hdpyi üzerine oturtmuþtur;0;1;1;1
haddinden fazla merhamet vatana ihanettir;0;0;0;0
ülkede kürtlerin yaþama hakký vardýr fikrini kabullenemeyen gruplar vardýr asýl hedef gruplar olmalý mesele dört tane öðretmen bitmeyecek;0;0;0;0
ölü helvasý el evinde piþince tatlý gelir derler bize masalý anlatanlar bir gün karýsýnýkýzýný videolarda gördüðünde yada tacizeallah korusun tecavüze kurban verince anlayacaklar geç olucak;0;1;1;1
bende almanlar olmak istiyorum zamanýnda bizim türkler oraya gittiðinde onlar bize türkçe konuþmayý türklükle ilgili varsa hepsini kýsýtlamýþtý bunun aynýsýný kendi ulkemizde yapabiliriz;0;1;1;1
ucuz suriyeli iþçi çalýþtýrmadaha kira uðruna evini 1 yerine 10 a kalabalýk suriye gruplarýna kiralamaevini kat kat fazlasýna araplara satma sonra türküz þikayet ettikleriniz kadar sizinde suçunuz var;0;0;0;0
dur türkiyem;0;0;0;0
efsaneyi hatýrlayalým;1;1;1;1
irkçi deðiliz türk düþmanýsýnýz;1;1;1;1
sorumluluk vergisi alýyorsak sýkýntý yok almýyorsak dünyanýn enayisi miyiz ayrýca 15 milyar din kardeþinin bundan haberi var;0;0;0;0
sa ýrkçýlýk kabul yeter gitsinler;0;0;0;0
cübeyr b mutimden nakledildiðine göre resülullah sav þöyle buyurmuþtur irkçýlýða çaðýran bizden deðildir irkçýlýk davasý uðruna savaþan bizden deðildir irkçýlýk davasý uðruna ölen bizden deðildir ebu davud edeb 111112;0;0;0;0
araplaþtiriliyoruz yarin gec olmamasi icin bugun dur demek vatani tekrar kurtarmak gereklidir seve seve yada baska turlu defolup gitsinler;0;1;1;1
görseller karayazýdaki bir kaç okuldan ufacýk çocuklarý asker selamý mk tiþörtleri mk þiirleri ilkokullarda eðitim verilmiyor kiþi kültü oluþturuluyor ufacýk çocuklar yoðun propagandalardan geçiyor;1;1;1;1
çaðýmýzýn tedavisi olmayan tek hastalýktýr ýrkçýlýk yüzyýllar boyunca topraklarda yaþayan kürt türk laz çerkez var býraksalar bizi memnunuz herkesten hepimiz;0;0;0;0
türkiye türkiyelilerindir tek bir ýrka benimseyen ýrkcýlýktan baþka deðildir nokta;0;0;0;0
ben türküm demek ýrkçýlýk oluyor;0;0;0;0
kontrolsüz mülteci akýnýna karþý çýkanlarý ýrkçýlýkla suçlayanlar türk düþmanýdýr asýl ýrkçý kendileridir;0;0;0;0
ülkelerde önce gördük ýrkçýlýk yapmýyoruz düzen istemek kontrol istemek tedbir almak ýrkçýlýk deðildir;0;0;0;0
türkiye dünyada fazla mülteci barýndýran ülke ailenizle yaþadýðýnýz çatýnýzýn altýna yabancýlarý alýp onlara maddi destek saðlýyor musunuz sokak kapýnýzý ardýna kadar açýp herkesin evinize yerleþmesine müsaade ediyor musunuz sýnýr kapatýp vatan korumak deðildir;0;0;0;0
yakýþtý size bir öðretmen bütün renkleri sevmeli 4 öðretmen hakkýnda soruþturma baþlatýlmýþ umarým hakettiðinizi bulursunuz;0;0;0;0
kontrolsüz mülteci akimina karþi gelmek irkçilik deðildir lan gidin çöplüðünüze;0;0;0;0
yapmayalýmama kontrolsüzce sýnýrdan ülkeme gelebiliyorlar suç iþliyorlar taksim travesti sokaðýnda toplanan lardan oluþan yüzlerce cahil grupkendilerini evlerine almasý slogan attýbazý kadýnlarýn videosunu atýyor;1;1;1;1
bazýlarý mülteci ayaðýna arap düþmanlýðý yapýyorlar sizin düþmanlýðýnýz din düþmanlýðýdýr imanýnýzý bir kontrol edin 35 þerefsiz yüzünden mazlum milletleri öcü gösterip memleketi çatiþmaya çekenlerin deðirmenine su taþýmayýn;0;0;0;0
istiklal marsini anayasadan belli maddeleri bilmek gerekiyor;0;0;0;0
vatandaþlýk parayla alinmaz vatandaþlýk hakedilir ev alarak vatandaslik alma hakký acilen kalkmali vatandaþ olabilmek icin türkçe bilmek 5 yil boyunca ülkede çalisarak ikamet etmek bir suça karýþmamak;0;0;0;0
çözüm sürecinde kürttentersine dönüp milliyetçiden oy devþiren erdoðanbu sýðýnmacý meselesinde ayný taktikle sýðýnmacý karþýtlýðýndan oy devþirebiliryabancýya deðil politikasýna söylem geliþtirilmeli;0;0;0;0
kontrolsüz göçmen sorunu var gidiþle orta vadede ekonomik kriz iç çatýþmayauzun vadede demografik deðiþikliðe olacak demeyi olarak nitelendirmek pembe popolu liberal olmak fonlanmak gerektirirsorunu görmezden gelmek ýrkçýlarýn yelkenini dolduruyor;0;0;0;0
inanamýyorum kadar güzel bir vataný kansýzlara yem ettiðinize inanamýyorum eli silah tutan erkeklerin ülkelerinden kaçýp ülkemizin huzurunu bozmalarýný kabul etmiyoruz sakalý çýkmamýþ gençler vatan uðruna þehit oldular;0;0;0;0
seni yok sayacaklar sen var olacaksýn;0;0;0;0
türk düþmaný varsa kaç zamandýr hava sahamýzý ihlal eden yunanlar rumlar sýnýrýmýza asker yýðan amerika ellerinde türk kaný taze olan hdp dostlarý 6lýdýr türk düþmaný arýyorsanýz istanbulun belediye binasýna bakabilirsiniz sokaklarýna deðil;1;1;1;1
ülkeyi alevisünni saðsol türkkürt sekülermuhafazakar iç savaþa sürüklemek istediler olmadý þimdi türkarap yeni kirli planlarý uyguluyorlar nedense muhalefetten nedense kandile operasyonda bunlar zýplýyor gündeme geliyor;1;1;1;1
kendi ülkesini düþünmeyen tek parti yaparsa yapar koyunlar görün duyun diyeceðimde akpnin kötü olayýna bir haklý çýkaracak yanýnýz var yalamaya devam edin;1;1;1;1
mülteci almaya devam edersek sonunda mülteci oluruz asil kana mülteci olmak yakisir mi;0;0;0;0
ülkede ýrkçýlýk varsa oda türklere yapýlandýr suri ler heryerde önümüze geçiyorlar vatandaþlýða geçen memnun deðil bizle ayný sartlarda yaþamak zorlarýna gidiyor yardýmlar kesilince aðlýyorlar gitmeleri gerekiyor;0;0;0;0
vatanýmýza huzursuzluk getiren savaþtan kaçmýþ yaþlarý 15 40 arasý olan mültecilere karþý yapýlan savunma deðildir sizin kirli pis düþüncenizdir vataný savunmaktýr;0;0;0;0
irkçýlýk deðil toplumun huzurunu bozan ekonomiyi alt üst eden mültecileri istemiyorum kimsede buna provokasyon diyemez ben halkým halk istemiyorum;1;1;1;1
duysun dünya duysun þimdi yeter artýk diyen masumlarýn sesini;0;0;0;0
kontrolsuz multeci akimi devam ederse turkiye cumhuriyetinin sonu olacakgerekeni yapin;0;0;0;0
mutlu türküm diyene;0;0;0;0
ulan entarili sapýklar yüzünden 35 yýllýk hayatýmda ilk bir siyasi partiye üye oldum size karþý yükseldim demiþmiydim;1;1;0;1
yaparým sana yetmezse incinirsin;0;0;0;0
istemiyorum;1;1;1;1
mey biter saki kalýr renk solar haki kalýr diploma insanýn cehlini alsa hamurunda varsa eþeklik baki kalýr irkçilik;0;0;0;0
irkçýlýk cahilin sýðýnaðýdýr zýmane me þerefa meye;0;0;0;0
türk cumhuriyetinin kurucusu ulu önder gazi mustafa kemal atatürk ülkeyi genclere emanet etti gencler olarak ulkeyi koruyacagiz kontrolsuz multeci akimini durduracagiz;0;0;0;0
yazmasý kadar göze batýyor anlamýþ deðilim yapaný lanetliyorum canlar;1;1;1;1
yeni taným oldu evet ülkemizde azginca ahlaksýzca davranýþlar bacýlarýmýza videolu tacizler yapan mülteci görünümleri olan aymatlozlarý istememek deðildir kimse istemiyorum garibani çoluk çocuk yaþlýyý kastetmiyor;0;0;0;0
mülteci istemiyoruz;0;1;1;1
sen kadar büyük dahisin atam kendi vataným yapacaðým ýrkçýlýk deðildir ey türk gençliði birinci vazifen türk istiklalini türk cumhuriyetini ilelebet muhafaza müdaffa etmektir;0;0;0;0
kontrolden çýkmýþ mülteci akýmýna karþý gelmek ýrkçýlýk deðildir gene adýna öyle demek isteyecek bizleri birbirimize kýrdýrmak isteyeceksiniz lütfen herkes akýma bir son destek olsun yakýnda nefes alacak yer kalmayacak;1;1;0;1
gayrimenkul kira fiyatlarýný yükselten mülteciler deðil aksine mültecilerin parasýna göz diken ev sahipleri onlara vatandaþlýk vaadeden idare biraz kendinizle yüzleþin be kardeþim;0;0;0;0
ülkemiz dogruyu istemek abartilan muteci akimini bitirmek istemek irkcilik degildir;0;0;0;0
geleceði düþünmek ýrkçýlýk deðildir;0;0;0;0
ülkemde mülteci istemiyor olmak ýrkçýlýksa ýrkçýyým ozaman burasý türkiye cumhuriyeti arap emirliði deðil;0;1;1;1
doðrularýn yalan kadar itibar görmediði caným ülkem;1;1;1;1
tabi kontrolsüz sonuçlarý öngörülemez basiretsiz mülteci politikasýna sonuna kadar karþýyým önce sýðýnmacý mülteci demek öðrenin sonra býk býk konuþun;0;0;0;0
suriyelilerin amk afganlarýn amk onlara destek çýkanlarýnda amk;0;0;0;0
misafirlik üç gündür bundan fazlasý sadakadýr hadisi þerif;0;1;1;1
not bir reklam deðildir maalesef ülkemizin gerçekleridir bizi 1 sene önce sadece fragman uyardýðýn teþekkürler film çekseydin;0;0;0;0
chp nin seçim sistemi çöktü muharrem ince memleket partisi genel baþkaný;0;0;0;0
memleket elden gidiyoruyan eyy halkým uyan;0;0;0;0
türkiye cumhuriyeti devletinde türk milliyetciligine ýrkçýlýk demek teroristlerin aðzýdýr;0;0;0;0
bir koyun sürüsüne salýverilmiþ iki aç kurdun yaptýðý zarar mala mevkiye düþkün bir adamýn dinine verdiði zarardan büyük deðildir sav;0;0;0;0
vatanseverim türk vatandaþýyým türk bayraðý altýnda yaþayacaðým;0;0;0;0
memlekette 50 sene kurucu unsurlarýmýzdan olan kürt dilinekürtlere baskýlar yaptýk deðil mi kürtçe bile konuþamýyorlardý þimdi afgansuriyelipakistanlý diðer mültecisýðýmacý istilacýlara sessiz kalýyoruz bunlarneden burdalar;0;0;0;0
vatanýný savunmak geleceðini düþünmek ýrkçýlýk evet ýrkçý bir toplumuz dünya üzerinde taþýyan bir türkün canýna malýna topraðýna zarar veren varsa onun karþýsýndasýyýz karþýsýnda olmaya devam edeceðiz;0;0;0;0
ülkemde sapkýn millet arap kökenliafganpakistan istemiyorum doluluk gýrtlak seviyesini geçti eþime evladýma bir bakýþ fitili ateþler fena yaparým hayal edemezsiniz buna diyebilirsiniz umrumda deðil bana göre liktir;1;1;1;1
mültecilere yapýlan desteðin tamamý büyük baþ hayvancýlýða yapýlmýþ olsaydý vatandaþ evine rahatlýkla et alabilirdi ilber ortaylý;1;1;1;1
bir görevin sizin kutsal olmasý insanlarý katletmek nehirleri haftalarca kan akýtmak yeterli insan deðilsiniz;0;0;0;0
yüksek lisansýný göçmen üzerine yapmýþ bir uzman olarak göç bakanlýðý kurulmasý gerektiðini düþünüyorum;0;0;0;0
iktidara sahip olanlar gaflet dalalet hatta hýyanet içinde bulunabilirler gazi mustafa kemal atatürk;0;0;0;0
bazi yazilanlara hoþþþþt diyesim var acaným kopeciklere ayýp;0;0;0;0
tatilim bitti güzel rahatladým vapurda bir twittera gireyim dedim yine herkes hýrsýzýnýn avukatý olmuþ beyin fukarasý mýsýnýz mýþ mýþ kendi topraðýmda sýðýnmacý kaldým hala ayný tatava gýna geldi sizin maðduru oynamanýzdan;0;0;0;0
mensubu olduðun milliyeti savunmak artýk ülkemizde ýrkçýlýk sayýlýyor irkçýlýðýn kelime anlamýný bilmeyenler cümle içinde kullanýyorlar isiyasal islamcý türk vatandaþlarý buna ortak oluyortürk kelimesini kullanýlamaz oldu itler bile gülüyor kimsesizliðimize;1;1;1;1
vatansýz pcleri ülkeye sokan sokturan herkes adalet önünde hesap verecek zamaný geldiðinde;0;0;0;0
zaten görüntülere bakarsak artýk sessiz deðil bayaða gümbür gümbür sesli bir istila artýk önlem geç geliyor malesef bunlarý grup grup geri göndersek 5 yýlý bulur falan deðil benim kaným var;0;0;0;0
neymiþ 1000000 suriyeli geri gidecekmiþ zaten yýlda doðurduklarý çocuklarý 1000000 kiþi anladýk iþten deðil sessiz iþgale dur deyin yeter kendi vataným ülkem çocuklarýmýz yabancý kalacak git;1;1;0;1
ülkede yýllardýr afrikalýlar saat vs satýp geçimini saðlýyor bir gün kimse tepki gösterdi mi bir olaya karýþtýlar hayýr sorun mültecilern milliyeti deðil yaþattýklarý problemler ülkemde kadýnlarýn çocuklarýn özgürce korkmadan gezmesini istemek suç;0;0;0;0
ülkemizde afgan suriyeli pakistanlý istemiyoruz demek sizce;0;0;0;0
bizim ýrkçýlýðýmýz hayasýz bir renk ayrýmcýlýðý deðil türke düþman olan soysuzlara karþýdýr;0;0;0;0
þimdilik filmdeki karakterler olaylarýn gerçek kiþi kurumlarla ilgisi yoktur tamamen hayal ürünüdür filmdeki olaylarýn gerçege donusmemesi icin ses cikartmak degildir;0;0;0;0
ülkenin iç iþleri bakanlýðý göçmenlerin tarafýný tutuyor türk halkýný karþýna alýyor diyeceðimi bilemedim;0;0;0;0
mültecileþmeye hayýr demek sa ben büyük türk ýrkçýsýyým vatanýn iþgaline karþý çýkmayý bile ýrkçýlýk olan deðerlendiren kimse katýksýz bir vatan hainidir nettir;0;0;0;0
birader sokakta olursa olsun türk bayraðý dýþýnda bayrak çýkarmaya çalýþaný görürseniz sikin anasýný kafasýný gözünü daðýtýn benim vatanýmda benim milletimde benim bayraðýmdan baþka bir millet bayrak aþamaz çýkaramaz;1;1;1;1
bak son anlatýyorum adam senin karýnýn kýzýnýn ananýn kýzkardeþinin resmini videosunu çekip kendi ülkesindeki sefillere servis ediyor veeee sende zannediyon bunlara arap kýzýyoruzistemiyoruz bunlarý medeniyetsiz ol;0;0;0;0
alakasý felan yok yardýma muhtac olanlara yardým ettik atalarýmýzýn kanýyla sulanmýþ bir karýþýnda kan damlasý olan türk topraklarýnda vataný savunamayým kadýnlarýný cocuklarýný arkada býrakýp kacan suriyelisini afganýný istememiz rahatsýz oldugumuzu dile getirmmiz;1;1;1;1
kontrolsüz olduðu belirsiz insanlarýn toplumumuzda yer almasýný kabul etmemek ýrkçýlýk deðildir kendimizi ülkemizi korumaktýr;0;0;0;0
afganlar vapurda bayrak açýp burasý artýk bizim ülkemiz slogan attýlar;0;0;0;0
evet gereksiz oksijen israfý vatansýzlar ülkeden gidene kadar ýrkcýyým ülkemde gereksiz boþ beleþ yaþayan asalak istemiyorum savunuyor koruyorsa onlarda gitsin ülkenden;0;0;0;0
yardýma muhtaç din kardeþlerimiz allah yardýmcýlarý olsun kadar kötü haldeler;1;1;1;1
ýrkçýlarý meslekten atýn öðretmenlik çocuða eþit mesafede yaklaþmayý gerektirir mesleðini layýkýyla yapmayý bekleyen onlarca öðretmen var zaten böylelerine ihtiyaç yok;1;1;0;1
türkiye nin demografik yapýsýnýn bozulmasýna pahasýna olursa olsun engel olacaðýz karþý çýkacaðýz irkçilik mýþ ý vatanseverlik zamandan beri irkçilik oldu suriye ye afganistan a pakistana;0;0;0;0
beni günlerde ayakta tutan tek gençliðe hitabe;0;0;0;0
sizin hayýrlýniz allahkatýnda takvalý olanýnýzdýr hucurat 13 ayetince ýrkçýlýk bir yoktur allah sadece kulun kalbine islami yolunda ilerlemesine bakar;1;1;1;1
yunanistan halkina silah dagitti avrupaya gecisi serbest biraktigimiz zaman neyin irkciligindan bahsediyorsunuz geliyo nerden geliyo belli degil heryer karmakarisik ekonomi falan hikaye buyuk problemimiz duzensiz gocmenlerdir bence;0;0;0;0
ben ülkemde mülteci istemiyorum ýrkçýlýksa ýrkçýyým amk;0;0;0;0
din tüccarlýðý baþladý yine nedense ticari iþler hristiyan ülkelerle müslüman deðil venezuella malta israil din kardeþimizmiþ bilmiyormuþuz travego;0;0;0;0
suc sizi deðil sizin þeref yoksunlarýný öðretmen yapan zihniyette çocuklara faþist ahlâk dýþý hareketlerden baþka öðretebilirsiniz;0;0;0;0
